model_id,task,budget,seed,icl_accuracy,lora_accuracy,lora_minus_icl_accuracy,icl_runtime_sec,lora_runtime_sec,lora_minus_icl_runtime_sec
Qwen/Qwen3-4B,sst2,2,13,0.91796875,0.91015625,-0.0078125,30.57456116299727,45.12987883899768,14.555317676000413
Qwen/Qwen3-4B,sst2,2,21,0.9140625,0.8984375,-0.015625,30.529144387997803,45.38885189899884,14.859707511001034
Qwen/Qwen3-4B,sst2,2,42,0.91796875,0.92578125,0.0078125,30.68732165599795,45.088922092996654,14.401600436998706
Qwen/Qwen3-4B,sst2,4,13,0.91015625,0.91015625,0.0,30.59118517400202,45.650551856000675,15.059366681998654
Qwen/Qwen3-4B,sst2,4,21,0.91015625,0.89453125,-0.015625,30.493434937998245,45.64551697100978,15.152082033011538
Qwen/Qwen3-4B,sst2,4,42,0.921875,0.92578125,0.00390625,30.683039711002493,45.803330350005126,15.120290639002633
Qwen/Qwen3-4B,sst2,8,13,0.92578125,0.9140625,-0.01171875,30.939760252003907,46.52585864201683,15.586098390012921
Qwen/Qwen3-4B,sst2,8,21,0.91015625,0.90234375,-0.0078125,30.698959401997854,46.51359971300553,15.814640311007679
Qwen/Qwen3-4B,sst2,8,42,0.92578125,0.92578125,0.0,30.503571105997253,46.495118578000984,15.991547472003731
Qwen/Qwen3-4B,sst2,16,13,0.92578125,0.91796875,-0.0078125,30.801605034001113,47.98567659400578,17.184071560004668
Qwen/Qwen3-4B,sst2,16,21,0.91015625,0.90234375,-0.0078125,30.921654079997097,48.60588901700248,17.684234937005385
Qwen/Qwen3-4B,sst2,16,42,0.92578125,0.9296875,0.00390625,30.68364983599895,48.24668750699493,17.563037670995982
Qwen/Qwen3-4B,sst2,32,13,0.92578125,0.91796875,-0.0078125,31.52307719100645,51.83763757599809,20.314560384991637
Qwen/Qwen3-4B,sst2,32,21,0.91015625,0.90234375,-0.0078125,31.78770060500392,51.57357905499521,19.785878449991287
Qwen/Qwen3-4B,sst2,32,42,0.92578125,0.92578125,0.0,31.740224875997228,51.627920437989815,19.887695561992587
Qwen/Qwen3-4B,mrpc,1,13,0.7421875,0.74609375,0.00390625,30.05375280899898,48.19670503600355,18.14295222700457
Qwen/Qwen3-4B,mrpc,1,21,0.6953125,0.7265625,0.03125,29.778336591996776,48.52696894100518,18.748632349008403
Qwen/Qwen3-4B,mrpc,1,42,0.7734375,0.75,-0.0234375,30.084627947995614,49.40929733200028,19.324669384004665
Qwen/Qwen3-4B,mrpc,2,13,0.71875,0.74609375,0.02734375,29.974181814002804,48.50979901900428,18.535617205001472
Qwen/Qwen3-4B,mrpc,2,21,0.73046875,0.73046875,0.0,30.02267340799881,48.683577973002684,18.660904565003875
Qwen/Qwen3-4B,mrpc,2,42,0.765625,0.75,-0.015625,30.028848729001766,48.55928040400613,18.530431675004365
Qwen/Qwen3-4B,mrpc,4,13,0.7265625,0.75,0.0234375,30.048781477002194,48.65794485999504,18.609163382992847
Qwen/Qwen3-4B,mrpc,4,21,0.73046875,0.73046875,0.0,30.037289990003046,48.702869489003206,18.66557949900016
Qwen/Qwen3-4B,mrpc,4,42,0.72265625,0.75,0.02734375,30.27690015400003,48.903775865997886,18.626875711997855
Qwen/Qwen3-4B,mrpc,8,13,0.72265625,0.75,0.02734375,30.399193532000936,49.58980786699976,19.190614334998827
Qwen/Qwen3-4B,mrpc,8,21,0.703125,0.734375,0.03125,30.93883704500331,49.362300014996435,18.423462969993125
Qwen/Qwen3-4B,mrpc,8,42,0.7109375,0.74609375,0.03515625,30.310648900995147,49.58485055700294,19.27420165600779
Qwen/Qwen3-4B,mrpc,16,13,0.73046875,0.75,0.01953125,33.10421623800357,50.564345996994234,17.46012975899066
