method,model_id,task,budget,n,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,parser_success_min,parser_success_mean,runtime_sec_mean,runtime_sec_sum
LoRA,Qwen/Qwen3-1.7B,rte,4,5,0.8140625,0.0034938562148434213,0.80859375,0.81640625,1.0,1.0,32.681544878403656,163.40772439201828
LoRA,Qwen/Qwen3-1.7B,rte,8,5,0.81328125,0.006418623720763666,0.80859375,0.82421875,1.0,1.0,33.36859087020421,166.84295435102104
ICL,Qwen/Qwen3-1.7B,sst2,0,5,0.82734375,0.025224819204629594,0.796875,0.85546875,0.99609375,0.99921875,24.662274529397838,123.31137264698918
ICL,Qwen/Qwen3-1.7B,sst2,1,5,0.884375,0.012536567606157198,0.8671875,0.8984375,0.9921875,0.99765625,24.799714921995474,123.99857460997737
ICL,Qwen/Qwen3-1.7B,sst2,16,5,0.91484375,0.014458402752595115,0.8984375,0.93359375,1.0,1.0,24.975167538803362,124.87583769401681
ICL,Qwen/Qwen3-1.7B,sst2,2,5,0.90390625,0.0059241214406652734,0.8984375,0.9140625,0.99609375,0.9984375,24.762842334600283,123.81421167300141
ICL,Qwen/Qwen3-1.7B,sst2,32,5,0.90234375,0.019918044974971814,0.87890625,0.921875,1.0,1.0,24.923511885802146,124.61755942901073
ICL,Qwen/Qwen3-1.7B,sst2,4,5,0.9,0.013418409404154428,0.87890625,0.91015625,0.99609375,0.99921875,24.928367255599007,124.64183627799503
ICL,Qwen/Qwen3-1.7B,sst2,8,5,0.9125,0.013975424859373685,0.90234375,0.9296875,0.99609375,0.99921875,24.858912283199608,124.29456141599803
LoRA,Qwen/Qwen3-1.7B,sst2,1,5,0.790625,0.012536567606157198,0.7734375,0.8046875,0.99609375,0.99921875,32.02385163979998,160.1192581989999
LoRA,Qwen/Qwen3-1.7B,sst2,16,5,0.79296875,0.013810679320049757,0.77734375,0.8125,0.99609375,0.9984375,33.89262926098964,169.46314630494817
LoRA,Qwen/Qwen3-1.7B,sst2,2,5,0.79140625,0.012837247441527332,0.7734375,0.80859375,0.99609375,0.9984375,32.05771458420058,160.28857292100292
LoRA,Qwen/Qwen3-1.7B,sst2,32,5,0.8078125,0.01819658546695643,0.7890625,0.83203125,0.984375,0.9921875,35.28537742320477,176.42688711602386
LoRA,Qwen/Qwen3-1.7B,sst2,4,5,0.78828125,0.012475562048961962,0.7734375,0.8046875,0.99609375,0.99921875,32.34225644759645,161.71128223798223
LoRA,Qwen/Qwen3-1.7B,sst2,8,5,0.78984375,0.011848242881330547,0.7734375,0.8046875,0.99609375,0.9984375,32.998315509992246,164.99157754996122
ICL,Qwen/Qwen3-1.7B,trec,0,5,0.40625,0.04358576875863554,0.34765625,0.453125,1.0,1.0,28.78735554800078,143.9367777400039
ICL,Qwen/Qwen3-1.7B,trec,1,5,0.47265625,0.030257682392245445,0.421875,0.49609375,1.0,1.0,27.736482650999097,138.68241325499548
ICL,Qwen/Qwen3-1.7B,trec,16,5,0.64921875,0.030055287596361478,0.61328125,0.68359375,1.0,1.0,29.497707202802122,147.4885360140106
ICL,Qwen/Qwen3-1.7B,trec,2,5,0.5125,0.05776761348687299,0.4609375,0.59765625,1.0,1.0,27.965309065801556,139.82654532900779
ICL,Qwen/Qwen3-1.7B,trec,32,5,0.6640625,0.022777155839239456,0.63671875,0.69140625,1.0,1.0,29.256933168800607,146.28466584400303
ICL,Qwen/Qwen3-1.7B,trec,4,5,0.56953125,0.027676546224872423,0.53125,0.609375,1.0,1.0,28.41285260400473,142.06426302002365
ICL,Qwen/Qwen3-1.7B,trec,8,5,0.61640625,0.03552325795121768,0.57421875,0.66796875,1.0,1.0,28.788860146190565,143.94430073095282
LoRA,Qwen/Qwen3-1.7B,trec,1,5,0.403125,0.04362076335982384,0.3515625,0.453125,1.0,1.0,37.50838396199688,187.5419198099844
LoRA,Qwen/Qwen3-1.7B,trec,16,5,0.39375,0.04128446122067297,0.34765625,0.4453125,1.0,1.0,39.079776653407315,195.39888326703658
LoRA,Qwen/Qwen3-1.7B,trec,2,5,0.39609375,0.050525195795328194,0.33203125,0.453125,1.0,1.0,37.740110593001006,188.70055296500504
LoRA,Qwen/Qwen3-1.7B,trec,32,5,0.39296875,0.03670628112760471,0.34765625,0.4375,1.0,1.0,40.30561771779467,201.52808858897333
LoRA,Qwen/Qwen3-1.7B,trec,4,5,0.396875,0.051125635119832494,0.33203125,0.453125,1.0,1.0,37.807509303804544,189.03754651902273
LoRA,Qwen/Qwen3-1.7B,trec,8,5,0.40078125,0.052524175981161283,0.3359375,0.46484375,1.0,1.0,38.33804277839081,191.69021389195404
ICL,Qwen/Qwen3-4B,mrpc,0,5,0.74453125,0.00855816496101822,0.73046875,0.75,1.0,1.0,38.54857305760379,192.74286528801895
ICL,Qwen/Qwen3-4B,mrpc,1,5,0.7328125,0.029569048230899318,0.6953125,0.7734375,1.0,1.0,31.276756514199953,156.38378257099976
ICL,Qwen/Qwen3-4B,mrpc,16,5,0.7125,0.020032627195247007,0.6875,0.73046875,1.0,1.0,35.20506273619394,176.0253136809697
ICL,Qwen/Qwen3-4B,mrpc,2,5,0.73515625,0.01798572567690834,0.71875,0.765625,1.0,1.0,31.281252117999248,156.40626058999624
ICL,Qwen/Qwen3-4B,mrpc,32,5,0.69765625,0.02287742260054113,0.671875,0.72265625,1.0,1.0,43.71550998300226,218.57754991501133
ICL,Qwen/Qwen3-4B,mrpc,4,5,0.72265625,0.018936249443032536,0.69140625,0.7421875,1.0,1.0,31.429313656802698,157.14656828401348
