model_id,task,budget,seed,icl_accuracy,lora_accuracy,lora_minus_icl_accuracy,icl_runtime_sec,lora_runtime_sec,lora_minus_icl_runtime_sec,lora_train_runtime_sec,lora_inference_runtime_sec,lora_model_load_sec
Qwen/Qwen3-0.6B,mrpc,1,13,0.5,0.5,0.0,23.866802032000123,36.98492666000311,13.118124628002988,0.11822796200067387,36.419764446000045,0.4469342520023929
Qwen/Qwen3-0.6B,mrpc,1,21,0.6328125,0.5,-0.1328125,23.214999618001457,37.36434968100002,14.149350062998565,0.12632056399888825,36.79171199399934,0.4463171230017906
Qwen/Qwen3-0.6B,mrpc,1,42,0.5,0.5,0.0,23.36136580099992,36.97374858299736,13.61238278199744,0.11877659399760887,36.44479486199998,0.4101771269997698
Qwen/Qwen3-0.6B,mrpc,1,55,0.515625,0.5,-0.015625,25.533233950001886,40.434310112003004,14.901076162001118,0.16733549800119363,39.73050542699639,0.536469187005423
Qwen/Qwen3-0.6B,mrpc,2,7,0.69921875,0.5,-0.19921875,25.491192054993007,40.571524217986735,15.080332162993727,0.219437712978106,39.810720489011146,0.5413660159974825
Qwen/Qwen3-0.6B,mrpc,2,13,0.64453125,0.5,-0.14453125,23.65402902900314,37.259540363997075,13.605511334993935,0.1979368499996781,36.66775362899716,0.3938498850002361
Qwen/Qwen3-0.6B,mrpc,2,21,0.54296875,0.5,-0.04296875,23.410084557999653,37.630671925999195,14.220587367999542,0.19251331000123173,37.04334722400017,0.39481139199779136
Qwen/Qwen3-0.6B,mrpc,2,42,0.6171875,0.5,-0.1171875,23.36082305799937,36.89793275899865,13.537109700999281,0.20827876899784314,36.30841659100042,0.38123739900038345
Qwen/Qwen3-0.6B,mrpc,2,55,0.53125,0.5,-0.03125,25.414370166981826,40.84887932197307,15.434509154991247,0.2100328249798622,40.0924176480039,0.5464288489893079
Qwen/Qwen3-0.6B,mrpc,4,7,0.52734375,0.5,-0.02734375,25.54355125501752,40.86781618502573,15.324264930008212,0.40052659501088783,39.909688762010774,0.5576008280040696
Qwen/Qwen3-0.6B,mrpc,4,13,0.5546875,0.5,-0.0546875,23.437303266000526,37.439330137996876,14.00202687199635,0.3807916779987863,36.66446881400043,0.3940696459976607
Qwen/Qwen3-0.6B,mrpc,4,21,0.58203125,0.5,-0.08203125,23.499510225999984,38.01597972400123,14.516469498001243,0.37799895200078026,37.23718426499909,0.4007965070013597
Qwen/Qwen3-0.6B,mrpc,4,42,0.62890625,0.5,-0.12890625,23.48577633899913,37.35355642700233,13.867780088003201,0.3723071759995946,36.58076409500063,0.4004851560021052
Qwen/Qwen3-0.6B,mrpc,4,55,0.51171875,0.5,-0.01171875,25.546993870986626,40.95490071200766,15.407906841021031,0.4076281269954052,40.04050802401616,0.5067645609960891
Qwen/Qwen3-0.6B,mrpc,8,7,0.62109375,0.5,-0.12109375,25.583909662993392,41.637798650044715,16.053888987051323,0.7804247010208201,40.318984637007816,0.5383893120160792
Qwen/Qwen3-0.6B,mrpc,8,13,0.57421875,0.5,-0.07421875,23.439565495998977,38.193912357000954,14.754346861001977,0.7352870569993684,37.06007464100185,0.3985506589997385
Qwen/Qwen3-0.6B,mrpc,8,21,0.66796875,0.5,-0.16796875,23.422714370000904,40.42772387700097,17.005009507000068,0.7491633410027134,39.2846133239982,0.39394721200005733
Qwen/Qwen3-0.6B,mrpc,8,42,0.6640625,0.5,-0.1640625,23.35682240100141,37.91006767399449,14.553245272993081,0.7706511539981875,36.75054343699958,0.3888730829967244
Qwen/Qwen3-0.6B,mrpc,8,55,0.65234375,0.5,-0.15234375,25.41082556801848,41.34060376702109,15.929778199002612,0.7700716670078691,40.05447065300541,0.5160614470078144
Qwen/Qwen3-0.6B,mrpc,16,7,0.51953125,0.5,-0.01953125,25.68883160498808,42.20900556698325,16.52017396199517,1.547183110989863,40.121007411013125,0.5408150449802633
Qwen/Qwen3-0.6B,mrpc,16,13,0.67578125,0.5,-0.17578125,23.46778953499961,39.37374478100173,15.905955246002122,1.5066392890003044,37.46068369600107,0.4064217960003589
Qwen/Qwen3-0.6B,mrpc,16,21,0.6171875,0.5,-0.1171875,23.63458217099833,38.66600576699784,15.031423595999513,1.447808458997315,36.812065792000794,0.4061315159997321
Qwen/Qwen3-0.6B,mrpc,16,42,0.6796875,0.5,-0.1796875,23.546089311003016,38.41534537099869,14.869256059995678,1.4308436699975573,36.58330116599973,0.40120053500140784
Qwen/Qwen3-0.6B,mrpc,16,55,0.6796875,0.5,-0.1796875,25.65106569699128,42.177441825013375,16.526376128022093,1.5244742170034442,40.10549645801075,0.5474711499991827
Qwen/Qwen3-0.6B,mrpc,32,7,0.6796875,0.58984375,-0.08984375,25.88056046300335,43.55856486898847,17.67800440598512,3.0142231119971257,40.014780047000386,0.5295617099909578
Qwen/Qwen3-0.6B,mrpc,32,13,0.6640625,0.55859375,-0.10546875,19.713264631001948,40.29417831999672,20.58091368899477,2.881378660000337,37.01459794099719,0.3982017189991893
Qwen/Qwen3-0.6B,mrpc,32,21,0.65234375,0.59765625,-0.0546875,24.234752670003218,40.562330251003004,16.327577580999787,2.9009734009996464,37.268903561001935,0.3924532890014234
Qwen/Qwen3-0.6B,mrpc,32,42,0.66796875,0.609375,-0.05859375,21.426898742996855,40.11024032299974,18.68334158000289,2.8319767590000993,36.88362274999963,0.39464081400001305
Qwen/Qwen3-0.6B,mrpc,32,55,0.703125,0.578125,-0.125,23.3756604490045,44.00867797099636,20.63301752199186,3.0847923939873,40.41964786799508,0.504237709013978
Qwen/Qwen3-0.6B,rte,1,7,0.71875,0.58984375,-0.12890625,28.766758087003836,40.82152637801482,12.054768291010987,0.13546235201647505,40.12852135297726,0.5575426730210893
Qwen/Qwen3-0.6B,rte,1,13,0.73046875,0.59765625,-0.1328125,27.816048128002876,36.91129867499694,9.095250546994066,0.12537956399683026,36.37795292800001,0.4079661830000987
Qwen/Qwen3-0.6B,rte,1,21,0.6796875,0.6015625,-0.078125,28.59028149599908,37.71475754900166,9.124476053002581,0.13137870699938503,37.16745054600324,0.4159282959990378
Qwen/Qwen3-0.6B,rte,1,42,0.73046875,0.59375,-0.13671875,26.809915887999523,38.17401574600444,11.36409985800492,0.14368247700258507,37.59262781200232,0.437705456999538
Qwen/Qwen3-0.6B,rte,1,55,0.73046875,0.59765625,-0.1328125,29.155269810988102,41.04351983999368,11.888250029005576,0.12877885799389333,40.348686504992656,0.5660544770071283
Qwen/Qwen3-0.6B,rte,2,7,0.60546875,0.59375,-0.01171875,27.558366295997985,40.72828810400097,13.169921808002982,0.22472633799770847,39.95057199001894,0.5529897759843152
Qwen/Qwen3-0.6B,rte,2,13,0.7578125,0.59765625,-0.16015625,26.25165686600303,36.983994989001076,10.732338122998044,0.22451941200051806,36.37802247199943,0.3814531050011283
Qwen/Qwen3-0.6B,rte,2,21,0.765625,0.58984375,-0.17578125,28.704826230001345,37.14269815300577,8.437871923004423,0.21119981400261167,36.539297610001086,0.39220072900207015
Qwen/Qwen3-0.6B,rte,2,42,0.66015625,0.59375,-0.06640625,26.48823611700209,40.423600145997625,13.935364028995537,0.20323560799806728,39.82466046000263,0.39570407799692475
Qwen/Qwen3-0.6B,rte,2,55,0.6640625,0.59765625,-0.06640625,28.61812137797824,41.18907207500888,12.57095069703064,0.2093021240143571,40.43553604799672,0.5442339029978029
Qwen/Qwen3-0.6B,rte,4,7,0.58203125,0.58984375,0.0078125,30.695435775007354,40.990662784985034,10.29522700997768,0.4126716489845421,40.04628958698595,0.5317015490145423
