model_id,task,method,budget,n,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,parser_success_min,parser_success_mean
Qwen/Qwen3-1.7B,trec,ICL,1,3,0.4661458333333333,0.03853814736184568,0.421875,0.4921875,1.0,1.0
Qwen/Qwen3-1.7B,trec,ICL,16,3,0.6419270833333334,0.0369204345800985,0.61328125,0.68359375,1.0,1.0
Qwen/Qwen3-1.7B,trec,ICL,2,3,0.5065104166666666,0.07893460711576915,0.4609375,0.59765625,1.0,1.0
Qwen/Qwen3-1.7B,trec,ICL,32,3,0.6640625,0.017026948998205758,0.64453125,0.67578125,1.0,1.0
Qwen/Qwen3-1.7B,trec,ICL,4,3,0.5690104166666666,0.039127550003428956,0.53125,0.609375,1.0,1.0
Qwen/Qwen3-1.7B,trec,ICL,8,3,0.6380208333333334,0.026009094212810127,0.62109375,0.66796875,1.0,1.0
Qwen/Qwen3-1.7B,trec,LoRA,1,3,0.37890625,0.03767051078512873,0.3515625,0.421875,1.0,1.0
Qwen/Qwen3-1.7B,trec,LoRA,16,3,0.3697916666666667,0.031814561778308895,0.34765625,0.40625,1.0,1.0
Qwen/Qwen3-1.7B,trec,LoRA,2,3,0.3671875,0.04225255400934363,0.33203125,0.4140625,1.0,1.0
Qwen/Qwen3-1.7B,trec,LoRA,32,3,0.3723958333333333,0.030341615098257925,0.34765625,0.40625,1.0,1.0
Qwen/Qwen3-1.7B,trec,LoRA,4,3,0.3671875,0.04225255400934363,0.33203125,0.4140625,1.0,1.0
Qwen/Qwen3-1.7B,trec,LoRA,8,3,0.3697916666666667,0.04009063624567878,0.3359375,0.4140625,1.0,1.0
Qwen/Qwen3-4B,mrpc,ICL,0,3,0.7434895833333334,0.01127637244510988,0.73046875,0.75,1.0,1.0
Qwen/Qwen3-4B,mrpc,ICL,1,3,0.7369791666666666,0.039322054350368486,0.6953125,0.7734375,1.0,1.0
Qwen/Qwen3-4B,mrpc,ICL,16,3,0.71484375,0.01790068630842125,0.6953125,0.73046875,1.0,1.0
Qwen/Qwen3-4B,mrpc,ICL,2,3,0.73828125,0.024394523431243743,0.71875,0.765625,1.0,1.0
Qwen/Qwen3-4B,mrpc,ICL,32,3,0.6875,0.02376079113397742,0.671875,0.71484375,1.0,1.0
Qwen/Qwen3-4B,mrpc,ICL,4,3,0.7265625,0.00390625,0.72265625,0.73046875,1.0,1.0
Qwen/Qwen3-4B,mrpc,ICL,8,3,0.7122395833333334,0.009830513587592123,0.703125,0.72265625,1.0,1.0
