model_id,task,method,budget,n,runtime_sec_mean,runtime_sec_sum,train_runtime_sec_mean,inference_runtime_sec_mean,model_load_sec_mean
Qwen/Qwen3-1.7B,trec,LoRA,4,5,37.807509303804544,189.03754651902273,0.4045396272049402,36.68856453240441,0.7144051441951887
Qwen/Qwen3-1.7B,trec,LoRA,8,5,38.33804277839081,191.69021389195404,0.7628676465988974,36.88369373699097,0.6914813948009396
Qwen/Qwen3-4B,mrpc,ICL,0,5,38.54857305760379,192.74286528801895,,38.54857305760379,
Qwen/Qwen3-4B,mrpc,ICL,1,5,31.276756514199953,156.38378257099976,,31.276756514199953,
Qwen/Qwen3-4B,mrpc,ICL,16,5,35.20506273619394,176.0253136809697,,35.20506273619394,
Qwen/Qwen3-4B,mrpc,ICL,2,5,31.281252117999248,156.40626058999624,,31.281252117999248,
Qwen/Qwen3-4B,mrpc,ICL,32,5,43.71550998300226,218.57754991501133,,43.71550998300226,
Qwen/Qwen3-4B,mrpc,ICL,4,5,31.429313656802698,157.14656828401348,,31.429313656802698,
Qwen/Qwen3-4B,mrpc,ICL,8,5,31.6931798376012,158.465899188006,,31.6931798376012,
Qwen/Qwen3-4B,mrpc,LoRA,1,5,50.75362373340177,253.76811866700882,0.1561688348010648,49.344485733400504,1.2529691652001929
Qwen/Qwen3-4B,mrpc,LoRA,16,5,52.58654677778977,262.93273388894886,1.9992083206016105,49.44064305159554,1.146695405592618
Qwen/Qwen3-4B,mrpc,LoRA,2,5,50.88622543880338,254.43112719401688,0.27998063640552573,49.49122715179838,1.115017650599475
Qwen/Qwen3-4B,mrpc,LoRA,32,5,54.65158753120486,273.2579376560243,3.964389744201617,49.58108314019919,1.1061146468040532
Qwen/Qwen3-4B,mrpc,LoRA,4,5,50.93492120519513,254.67460602597566,0.506363046594197,49.337477732400295,1.0910804262006422
Qwen/Qwen3-4B,mrpc,LoRA,8,5,51.69179695139464,258.4589847569732,0.9819064625960892,49.59260559079994,1.1172848979986156
Qwen/Qwen3-4B,rte,ICL,0,5,38.63633570940001,193.18167854700005,,38.63633570940001,
Qwen/Qwen3-4B,rte,ICL,1,5,31.380695336202916,156.90347668101458,,31.380695336202916,
Qwen/Qwen3-4B,rte,ICL,16,5,37.851418814601494,189.25709407300747,,37.851418814601494,
Qwen/Qwen3-4B,rte,ICL,2,5,31.420566159597364,157.10283079798683,,31.420566159597364,
Qwen/Qwen3-4B,rte,ICL,32,5,47.2736320044045,236.3681600220225,,47.2736320044045,
Qwen/Qwen3-4B,rte,ICL,4,5,31.5533497140088,157.766748570044,,31.5533497140088,
Qwen/Qwen3-4B,rte,ICL,8,5,32.94328013679042,164.7164006839521,,32.94328013679042,
Qwen/Qwen3-4B,rte,LoRA,1,5,50.67748858540144,253.3874429270072,0.15724995260097785,49.28495315520122,1.2352854775992455
Qwen/Qwen3-4B,rte,LoRA,16,5,52.50189113880769,262.5094556940385,1.9329742236004677,49.47805343000364,1.0908634852035903
Qwen/Qwen3-4B,rte,LoRA,2,5,50.627721815809494,253.13860907904746,0.2687081648051389,49.281041253602595,1.0779723974017543
Qwen/Qwen3-4B,rte,LoRA,32,5,54.59528488980577,272.97642444902885,3.8476394291967155,49.65268152700882,1.0949639336002293
Qwen/Qwen3-4B,rte,LoRA,4,5,50.912039819796334,254.56019909898168,0.5414004987978842,49.26705405559769,1.1035852654007612
